wl	n	k
0.3	2.17772	2.16451
0.3147651	2.33759	2.19408
0.3295302	2.49716	2.20897
0.34429529999999997	2.65489	2.2094
0.3590604	2.80923	2.19581
0.3738255	2.95868	2.16882
0.3885906	3.10183	2.1293
0.40335570000000004	3.23741	2.0783
0.41812081	3.36436	2.01704
0.43288591000000004	3.48181	1.94688
0.44765100999999996	3.58913	1.86924
0.46241611	3.68594	1.78555
0.47718121	3.77208	1.69724
0.49194631	3.84759	1.60567
0.50671141	3.91271	1.5121
0.52147651	3.96782	1.41769
0.53624161	4.0134	1.32343
0.55100671	4.05003	1.2302
0.56577181	4.07835	1.13873
0.5805369100000001	4.099	1.04964
0.59530201	4.11266	0.9634
0.6100671099999999	4.11997	0.8804
0.62483221	4.12157	0.80093
0.6395973199999999	4.11805	0.72519
0.65436242	4.10999	0.65333
0.66912752	4.09791	0.58542
0.68389262	4.08231	0.52152
0.69865772	4.06363	0.46163
0.71342282	4.04228	0.40572
0.72818792	4.01866	0.35376
0.7429530200000001	3.99311	0.3057
0.75771812	3.96595	0.26146
0.7724832199999999	3.93748	0.22097
0.78724832	3.90797	0.18416
0.80201342	3.8777	0.15094
0.81677852	3.8469	0.12124
0.83154362	3.81581	0.09498
0.84630872	3.78467	0.07208
0.86107383	3.7537	0.05247
0.87583893	3.72315	0.03608
0.89060403	3.69327	0.02283
0.9053691300000001	3.66434	0.01267
0.92013423	3.63668	0.00552
0.9348993299999999	3.61073	0.00132
0.94966443	3.58726	0.0
0.96442953	3.56746	0.0
0.97919463	3.55006	0.0
0.99395973	3.53439	0.0
1.00872483	3.52011	0.0
1.02348993	3.50701	0.0
1.03825503	3.49491	0.0
1.0530201300000002	3.48368	0.0
1.06778523	3.47322	0.0
1.08255034	3.46345	0.0
1.09731544	3.45429	0.0
1.11208054	3.44569	0.0
1.12684564	3.4376	0.0
1.1416107400000002	3.42996	0.0
1.15637584	3.42275	0.0
1.17114094	3.41592	0.0
1.18590604	3.40944	0.0
1.2006711399999999	3.4033	0.0
1.21543624	3.39746	0.0
1.23020134	3.3919	0.0
1.24496644	3.3866	0.0
1.25973154	3.38155	0.0
1.2744966400000002	3.37673	0.0
1.28926174	3.37212	0.0
1.30402685	3.36771	0.0
1.31879195	3.36349	0.0
1.3335570499999998	3.35944	0.0
1.34832215	3.35556	0.0
1.36308725	3.35184	0.0
1.37785235	3.34827	0.0
1.39261745	3.34483	0.0
1.4073825500000001	3.34153	0.0
1.42214765	3.33835	0.0
1.4369127499999998	3.33529	0.0
1.45167785	3.33234	0.0
1.46644295	3.3295	0.0
1.48120805	3.32676	0.0
1.49597315	3.32411	0.0
1.51073826	3.32156	0.0
1.5255033599999999	3.31909	0.0
1.54026846	3.31671	0.0
1.55503356	3.3144	0.0
1.56979866	3.31218	0.0
1.58456376	3.31002	0.0
1.5993288600000002	3.30793	0.0
1.61409396	3.30591	0.0
1.62885906	3.30395	0.0
1.6436241600000001	3.30205	0.0
1.6583892599999999	3.30021	0.0
1.67315436	3.29842	0.0
1.68791946	3.29669	0.0
1.70268456	3.29501	0.0
1.71744966	3.29338	0.0
1.7322147700000001	3.29179	0.0
1.7469798699999999	3.29025	0.0
1.76174497	3.28875	0.0
1.77651007	3.2873	0.0
1.7912751699999998	3.28588	0.0
1.80604027	3.2845	0.0
1.82080537	3.28316	0.0
1.83557047	3.28186	0.0
1.85033557	3.28059	0.0
1.8651006700000001	3.27935	0.0
1.87986577	3.27815	0.0
1.8946308699999999	3.27698	0.0
1.90939597	3.27583	0.0
1.92416107	3.27472	0.0
1.93892617	3.27363	0.0
1.95369128	3.27257	0.0
1.9684563800000001	3.27154	0.0
1.9832214799999999	3.27053	0.0
1.99798658	3.26954	0.0
2.01275168	3.26858	0.0
2.02751678	3.26764	0.0
2.04228188	3.26673	0.0
2.05704698	3.26583	0.0
2.07181208	3.26496	0.0
2.0865771800000004	3.26411	0.0
2.10134228	3.26327	0.0
2.11610738	3.26245	0.0
2.13087248	3.26166	0.0
2.1456375800000003	3.26088	0.0
2.1604026800000002	3.26011	0.0
2.17516779	3.25937	0.0
2.18993289	3.25864	0.0
2.20469799	3.25792	0.0
2.21946309	3.25722	0.0
2.2342281899999996	3.25654	0.0
2.24899329	3.25587	0.0
2.26375839	3.25521	0.0
2.27852349	3.25457	0.0
2.29328859	3.25394	0.0
2.3080536900000004	3.25333	0.0
2.32281879	3.25272	0.0
2.33758389	3.25213	0.0
2.35234899	3.25155	0.0
2.36711409	3.25098	0.0
2.3818791900000003	3.25042	0.0
2.3966442999999997	3.24988	0.0
2.4114094	3.24934	0.0
2.4261745	3.24882	0.0
2.4409396	3.2483	0.0
2.4557046999999996	3.24779	0.0
2.4704698	3.2473	0.0
2.4852349	3.24681	0.0
2.5	3.24633	0.0
