wl	n	k
0.3	1.97058	3.10844
0.3147651	2.13604	3.23133
0.3295302	2.31522	3.35357
0.34429529999999997	2.51347	3.474
0.3590604	2.73763	3.58843
0.3738255	2.99458	3.68746
0.3885906	3.28728	3.75474
0.40335570000000004	3.60804	3.76886
0.41812081	3.93333	3.71269
0.43288591000000004	4.22928	3.58704
0.44765100999999996	4.46924	3.41475
0.46241611	4.64725	3.22744
0.47718121	4.77476	3.04894
0.49194631	4.86871	2.88977
0.50671141	4.94333	2.75084
0.52147651	5.00788	2.62873
0.53624161	5.06745	2.51901
0.55100671	5.12449	2.41774
0.56577181	5.17985	2.32187
0.5805369100000001	5.2336	2.22922
0.59530201	5.28544	2.13827
0.6100671099999999	5.33491	2.04806
0.62483221	5.38152	1.95801
0.6395973199999999	5.42482	1.86779
0.65436242	5.46441	1.77729
0.66912752	5.49998	1.68652
0.68389262	5.53125	1.59559
0.69865772	5.55802	1.50468
0.71342282	5.58014	1.41402
0.72818792	5.59753	1.32385
0.7429530200000001	5.61013	1.23445
0.75771812	5.61793	1.1461
0.7724832199999999	5.62096	1.0591
0.78724832	5.61928	0.97372
0.80201342	5.61296	0.89026
0.81677852	5.60212	0.80901
0.83154362	5.5869	0.73026
0.84630872	5.56744	0.65428
0.86107383	5.54394	0.58136
0.87583893	5.51658	0.51176
0.89060403	5.48558	0.44577
0.9053691300000001	5.4512	0.38365
0.92013423	5.4137	0.32567
0.9348993299999999	5.37339	0.27212
0.94966443	5.33059	0.22325
0.96442953	5.28569	0.17935
0.97919463	5.23914	0.14069
0.99395973	5.19143	0.10756
1.00872483	5.14317	0.08025
1.02348993	5.09513	0.05904
1.03825503	5.04829	0.04421
1.0530201300000002	5.00415	0.03604
1.06778523	4.96602	0.03378
1.08255034	4.93411	0.03233
1.09731544	4.90586	0.03093
1.11208054	4.88034	0.02958
1.12684564	4.85702	0.02829
1.1416107400000002	4.83555	0.02704
1.15637584	4.81565	0.02584
1.17114094	4.79713	0.02469
1.18590604	4.77982	0.02358
1.2006711399999999	4.76358	0.02252
1.21543624	4.7483	0.0215
1.23020134	4.7339	0.02052
1.24496644	4.72029	0.01958
1.25973154	4.70739	0.01868
1.2744966400000002	4.69516	0.01782
1.28926174	4.68354	0.01699
1.30402685	4.67248	0.01619
1.31879195	4.66194	0.01542
1.3335570499999998	4.65187	0.01468
1.34832215	4.64226	0.01398
1.36308725	4.63307	0.0133
1.37785235	4.62426	0.01264
1.39261745	4.61582	0.01202
1.4073825500000001	4.60772	0.01142
1.42214765	4.59995	0.01084
1.4369127499999998	4.59248	0.01028
1.45167785	4.58529	0.00975
1.46644295	4.57837	0.00924
1.48120805	4.57171	0.00875
1.49597315	4.56529	0.00827
1.51073826	4.5591	0.00782
1.5255033599999999	4.55312	0.00739
1.54026846	4.54735	0.00697
1.55503356	4.54177	0.00657
1.56979866	4.53638	0.00619
1.58456376	4.53117	0.00582
1.5993288600000002	4.52612	0.00547
1.61409396	4.52124	0.00513
1.62885906	4.5165	0.00481
1.6436241600000001	4.51192	0.0045
1.6583892599999999	4.50747	0.00421
1.67315436	4.50316	0.00392
1.68791946	4.49898	0.00366
1.70268456	4.49492	0.0034
1.71744966	4.49098	0.00315
1.7322147700000001	4.48715	0.00292
1.7469798699999999	4.48343	0.0027
1.76174497	4.47981	0.00249
1.77651007	4.47629	0.00229
1.7912751699999998	4.47288	0.0021
1.80604027	4.46955	0.00192
1.82080537	4.46631	0.00175
1.83557047	4.46316	0.00159
1.85033557	4.46009	0.00143
1.8651006700000001	4.4571	0.00129
1.87986577	4.45419	0.00116
1.8946308699999999	4.45136	0.00103
1.90939597	4.44859	0.00091
1.92416107	4.4459	0.0008
1.93892617	4.44327	0.0007
1.95369128	4.44071	0.00061
1.9684563800000001	4.43821	0.00052
1.9832214799999999	4.43578	0.00044
1.99798658	4.4334	0.00037
2.01275168	4.43108	0.00031
2.02751678	4.42882	0.00025
2.04228188	4.42661	0.0002
2.05704698	4.42445	0.00015
2.07181208	4.42235	0.00011
2.0865771800000004	4.42029	8e-05
2.10134228	4.41829	5e-05
2.11610738	4.41633	3e-05
2.13087248	4.41442	1e-05
2.1456375800000003	4.41255	0.0
2.1604026800000002	4.41074	0.0
2.17516779	4.40896	0.0
2.18993289	4.40724	0.0
2.20469799	4.40555	0.0
2.21946309	4.40391	0.0
2.2342281899999996	4.4023	0.0
2.24899329	4.40073	0.0
2.26375839	4.39919	0.0
2.27852349	4.39769	0.0
2.29328859	4.39622	0.0
2.3080536900000004	4.39478	0.0
2.32281879	4.39338	0.0
2.33758389	4.392	0.0
2.35234899	4.39066	0.0
2.36711409	4.38934	0.0
2.3818791900000003	4.38805	0.0
2.3966442999999997	4.38678	0.0
2.4114094	4.38554	0.0
2.4261745	4.38433	0.0
2.4409396	4.38314	0.0
2.4557046999999996	4.38197	0.0
2.4704698	4.38083	0.0
2.4852349	4.37971	0.0
2.5	4.37861	0.0
